"sid","sinstrument","ssymbol","sexpiry_dt","tdopen","tdhigh","tdlow","tdclose","tdtimestamp","twopen","twhigh","twlow","twclose","twtimestamp","tmopen","tmhigh","tmlow","tmclose","tmtimestamp","tyopen","tyhigh","tylow","tyclose","tytimestamp","dopen","dhigh","dlow","dclose","dtimestamp","wopen","whigh","wlow","wclose","wtimestamp","mopen","mhigh","mlow","mclose","mtimestamp","yopen","yhigh","ylow","yclose","ytimestamp","slastupdatedate"
725,"EQ","GILLANDERS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"64.40","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"61.55","62.75","59.80","61.15","14-OCT-2022","68.75","68.75","58.80","61.15","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
726,"EQ","GILLETTE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5175.00","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"5151.00","5185.00","5100.00","5112.10","14-OCT-2022","5099.30","5198.85","5099.30","5112.10","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
727,"EQ","GILT5YBEES",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"49.42","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"49.30","49.31","49.06","49.22","14-OCT-2022","49.26","49.37","49.03","49.22","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
728,"EQ","GINNIFILA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"34.10","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"34.35","34.65","33.20","33.65","14-OCT-2022","35.10","35.45","33.20","33.65","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
729,"EQ","GIPCL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"86.50","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"87.20","87.25","84.55","84.90","14-OCT-2022","88.80","89.35","84.55","84.90","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
730,"EQ","GKWLIMITED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"619.30","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"590.50","595.00","590.00","590.20","14-OCT-2022","606.20","612.60","590.00","590.20","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
731,"EQ","GLAND",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2087.85","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"2185.00","2202.00","2143.75","2159.95","14-OCT-2022","2061.00","2202.00","2031.00","2159.95","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
732,"EQ","GLAXO",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1446.80","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"1385.05","1393.95","1373.05","1378.65","14-OCT-2022","1400.00","1405.10","1373.05","1378.65","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
733,"EQ","GLENMARK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"387.00","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"393.60","397.95","389.75","390.85","14-OCT-2022","397.00","399.35","376.90","390.85","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
734,"EQ","GLFL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
735,"EQ","GLOBALVECT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"60.75","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"58.35","58.40","56.60","57.15","14-OCT-2022","59.35","60.85","56.60","57.15","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
736,"EQ","GLOBE",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"5.85","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"5.65","5.65","5.50","5.55","14-OCT-2022","5.80","5.85","5.40","5.55","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
737,"EQ","GLOBUSSPR",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"853.65","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"844.95","848.70","830.00","832.15","14-OCT-2022","846.00","854.00","823.80","832.15","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
738,"EQ","GLS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"380.40","29-SEP-2022",NULL,NULL,NULL,NULL,NULL,"416.30","417.30","404.10","405.95","14-OCT-2022","381.90","425.05","381.00","405.95","14-OCT-2022",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2022-10-16"
